generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,172,1494.2966395634728,2084.671380876525,1765.452395896299,136.990305406688
1,178,1494.2966395634728,2125.075929143757,1733.7916768147757,146.76208094496258
2,172,1409.8312454292259,2065.362661184688,1722.2695709308014,157.08241307337158
3,176,1409.8312454292259,2110.0043005871253,1710.3610691057575,161.19311983771715
4,175,1409.8312454292259,2110.0043005871253,1719.016947412071,177.41384131019865
5,167,1409.8312454292259,2110.0043005871253,1708.2352245068553,181.32874860021238
6,168,1372.139477705124,2056.1479308682715,1671.430989239086,174.51850773837984
7,174,1371.3600004920047,2056.1479308682715,1670.8423347899404,191.28321504127277
8,182,1371.3600004920047,2143.7460889750632,1657.174284966236,204.27825577211507
9,177,1349.6938490777584,2103.2906600329943,1651.1706747882147,213.31645856311263
10,180,1349.6938490777584,2112.961605526771,1658.7870624390082,220.0610763629626
11,171,1349.6938490777584,2112.961605526771,1635.4266481022185,230.46348291286884
12,178,1254.686482102024,2112.961605526771,1623.7977687962393,232.8155742958043
13,166,1254.686482102024,2065.7953524878267,1621.810575245811,240.2624419535044
14,173,1254.686482102024,2162.189465989074,1605.3300301566394,249.78527377544677
15,183,1254.686482102024,2162.189465989074,1616.661475463954,249.4379713796815
16,170,1254.686482102024,2162.189465989074,1605.8921910887998,243.63196709421345
17,160,1254.686482102024,2070.801461216682,1574.8753411801092,253.8818707102928
18,174,1254.686482102024,2070.801461216682,1551.4983830297156,260.8330634178395
19,168,1239.0576308483148,2053.6397240967613,1555.1637079550837,276.49629302802174
20,176,1239.0576308483148,2053.6397240967613,1591.0204914185963,283.9938269343565
21,176,1239.0576308483148,2077.8026227294395,1570.861903324664,272.8923372625041
22,176,1239.0576308483148,2077.8026227294395,1563.527367843999,283.0166273370018
23,174,1239.0576308483148,2110.6324754634097,1549.433147488277,285.7400192247703
24,170,1239.0576308483148,2077.8026227294395,1586.905705859997,292.7447279664712
25,177,1233.7213016236112,2195.2620227040798,1591.1854576112883,299.8382565252321
26,187,1233.7213016236112,2195.2620227040798,1616.4272463986933,302.59493359684416
27,169,1229.5365726841342,2195.2620227040798,1611.9291439693081,297.8265676688442
28,175,1229.5365726841342,2177.7763378625014,1606.6272697299512,302.1294814839287
29,182,1229.5365726841342,2177.7763378625014,1599.989876013713,310.3782654469282
30,170,1229.5365726841342,2177.7763378625014,1615.1360834998193,295.98680278612017
31,182,1224.2002434594306,2110.2549059309545,1587.8394517387226,282.1683935223261
32,172,1224.2002434594306,2079.489555223053,1600.728212204857,284.2622987410615
33,174,1224.2002434594306,2048.6267657137178,1590.8539080196047,284.6825520945619
34,172,1224.2002434594306,2047.03435320593,1579.0662589373399,284.685249470873
35,171,1224.2002434594306,2047.03435320593,1572.0533412592513,290.5082078043809
36,183,1217.6500502136607,2047.03435320593,1556.9976112068396,299.2313420686729
37,182,1212.3137209889571,2037.5722557620713,1542.2843828164848,303.92302456537686
38,171,1212.3137209889571,2119.593691298007,1535.633270470198,300.97066021712567
39,161,1212.3137209889571,2119.593691298007,1556.221750521342,282.3675357539705
40,178,1207.7993244995325,2141.738946950354,1582.5047704101432,301.85736781752496
41,172,1207.7993244995325,2119.593691298007,1589.2147100883863,291.10723449460295
42,169,1207.1888336757916,2119.593691298007,1586.320172475792,298.1476019581949
43,175,1202.674437186367,2070.5564192634815,1582.9243295908766,286.96998989330757
44,173,1202.674437186367,2070.5564192634815,1602.2912570904007,288.1048530962781
45,169,1202.674437186367,2070.5564192634815,1603.7154160765044,297.00791221663025
46,183,1202.674437186367,2076.5189418180853,1579.672901131096,311.361760989902
47,179,1202.674437186367,2119.946778621415,1597.677474613968,310.6263676206451
48,185,1185.5196246552339,2159.2569803143906,1550.6882534079084,294.9680022062063
49,169,1185.5196246552339,2042.4532430298245,1544.464365629844,301.1405474465823
50,170,1185.5196246552339,2126.5085427008316,1532.9193535574775,304.7890670392367
51,177,1185.5196246552339,2126.5085427008316,1530.4097236405596,292.376915270541
52,180,1185.5196246552339,2126.5085427008316,1558.3025745589114,292.2713307230446
53,178,1185.5196246552339,2053.457874499874,1573.599467907559,288.8676805028519
54,166,1185.5196246552339,2138.756346359449,1566.4968386562741,300.4359479232333
55,169,1185.5196246552339,2007.0030308876162,1567.070067805152,298.0211835564822
56,176,1185.5196246552339,2013.1395098184978,1543.794666216118,301.1213176202212
57,182,1185.5196246552339,2071.691418241051,1554.007127519507,307.5720129403443
58,175,1185.5196246552339,2071.691418241051,1554.3838062364712,304.13522684459076
59,168,1185.5196246552339,2075.3885995127403,1569.3774575268203,302.952416902811
60,168,1185.5196246552339,2047.7639409706787,1548.4793835861792,294.7254814402533
61,170,1185.5196246552339,2054.576841798322,1521.1376296339033,304.77199043780644
62,169,1185.5196246552339,2064.4597757532765,1519.1031901366773,303.5435787418712
63,173,1185.0945486471999,2180.1817618483637,1553.8575350602664,304.3743256404563
64,178,1185.0945486471999,2180.1817618483637,1551.7339446368794,308.1443603803764
65,178,1185.0945486471999,2057.8597778365106,1576.3479365219703,310.0770789915227
66,178,1165.4878430335275,2104.8466912171198,1557.6312926049309,313.2896529781232
67,174,1165.4878430335275,2104.8466912171198,1529.1691297883135,304.6811064135549
68,166,1153.210402115134,2104.8466912171198,1538.2388347692715,322.4555403559115
69,168,1153.210402115134,2104.8466912171198,1543.174920193686,315.32681567110825
70,180,1153.210402115134,2081.758780381824,1540.7149511864857,315.6890113467625
71,178,1153.210402115134,2085.832382741715,1529.8005825804444,309.90313009851764
72,170,1153.210402115134,2116.496762529928,1557.068646707962,312.82334793344836
73,168,1153.210402115134,2116.496762529928,1576.933965796973,316.4715238346909
74,164,1153.210402115134,2116.496762529928,1582.703677721939,322.02902845741306
75,169,1153.210402115134,2073.2645188831007,1534.9779988608946,320.78448640734536
76,182,1153.210402115134,2073.2645188831007,1561.6581030866737,326.4219484866969
77,171,1153.210402115134,2073.2645188831007,1568.496880233862,326.7666420931158
78,167,1153.210402115134,2139.496474452628,1537.699391068583,314.71199087565674
79,173,1153.210402115134,2101.620368997943,1529.1920748734037,314.2612009036342
80,175,1153.210402115134,2101.620368997943,1513.1744661102066,324.3564866658995
81,170,1153.210402115134,2245.378226639471,1533.8842570196305,324.99582665841723
82,159,1153.210402115134,2166.4365319580183,1575.3761038061211,304.2875956228899
83,167,1153.210402115134,1995.0301586717908,1589.792618803599,311.2555993165569
84,178,1153.210402115134,2033.8668268949878,1568.8669683516312,315.5556418677371
85,174,1153.210402115134,2078.6696095501047,1575.7372174764218,309.27410565287977
86,184,1151.797696106078,2097.837172434454,1594.3250916283546,329.8178751903018
87,179,1151.797696106078,2148.668266565136,1601.8514673782909,330.66775824700915
88,176,1151.797696106078,2148.668266565136,1613.4337310416554,329.78318855345253
89,168,1151.797696106078,2148.668266565136,1562.4112319356823,328.75335445150205
90,158,1151.797696106078,2166.0970336651512,1572.4312756774523,338.2513611208429
91,167,1151.6861749299549,2166.0970336651512,1616.8397452636523,332.58505699632866
92,177,1151.6861749299549,2166.0970336651512,1591.5541748181838,339.2762508990324
93,183,1151.6861749299549,2166.0970336651512,1572.3008988781473,347.2761986688326
94,178,1151.6861749299549,2166.0970336651512,1593.6378032297102,343.64619114978444
95,156,1151.6861749299549,2166.0970336651512,1563.3118911479523,347.456600024613
96,175,1151.6861749299549,2166.0970336651512,1575.7448427769687,351.0454226766407
97,182,1151.6861749299549,2210.342397479179,1581.1776066831892,339.71070912299484
98,175,1147.6833011403514,2181.6820900503467,1579.6828763173637,324.3929310957476
99,170,1147.6833011403514,2166.0970336651512,1570.625819346277,329.3545287379974
100,170,1147.6833011403514,2166.0970336651512,1552.211926974527,316.7531257093124
101,160,1147.6833011403514,2126.9402787781482,1567.474073851036,326.9472796580546
102,180,1147.6833011403514,2172.3363184906043,1572.443915878279,347.4922626166158
103,175,1147.6833011403514,2172.3363184906043,1547.319932360104,339.60077694631633
104,175,1129.7119272151695,2097.642434337614,1583.463156140814,340.92303975858323
105,176,1129.7119272151695,2050.5614506730494,1569.9466395796635,337.7638366250787
106,174,1129.7119272151695,2085.7243057077367,1536.9559727627434,337.5964150403672
107,171,1129.7119272151695,2085.7243057077367,1520.31027429939,336.1049384641849
108,171,1129.7119272151695,2085.7243057077367,1542.5893526332395,327.525963867684
109,173,1129.7119272151695,2101.153408706692,1531.0119841357946,317.39578676309645
110,182,1129.7119272151695,2054.5627535213835,1497.2116386186253,326.83191328932276
111,172,1129.7119272151695,2030.3742657664347,1513.7357950185217,328.4189721201057
112,172,1129.7119272151695,2035.5814351178763,1543.8707136815283,320.43037385696215
