generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,179,2537.315056543031,3164.3658191512855,2858.937218583143,142.61342026747997
1,171,2478.1708641228342,3178.8051356453348,2827.7057999437825,163.5835895474925
2,176,2478.1708641228342,3206.4003850153504,2799.1394847207903,182.71028703292043
3,177,2359.718923645856,3206.4003850153504,2770.874874751743,204.26746206198203
4,168,2316.953371365404,3206.4003850153504,2747.1395622640966,217.5925474856358
5,163,2316.953371365404,3206.4003850153504,2702.607993143804,223.8957295101929
6,158,2229.6319637557845,3263.1907636998353,2695.6482046531955,224.14292789594933
7,178,2229.6319637557845,3170.7482780739674,2685.7760935197653,239.08608895171227
8,178,2229.6319637557845,3318.9657113586377,2683.249214082669,256.27709364986964
9,174,2229.6319637557845,3213.1866999479066,2689.2494082922003,274.26647207327443
10,169,2219.061769477265,3211.3731124953324,2645.1716732956993,286.38433082952224
11,173,2219.061769477265,3105.062793282002,2618.824411695384,302.87488856924216
12,172,2219.061769477265,3285.884289883552,2639.9150021019555,315.83131224589687
13,180,2219.061769477265,3257.1421640933804,2627.031456824242,340.4349722673256
14,177,2219.061769477265,3257.1421640933804,2609.4577891128447,335.6756415441344
15,173,2200.3474655170676,3257.1421640933804,2615.069812178531,322.9421402522752
16,165,2200.3474655170676,3259.5343558977943,2624.937775132257,324.89137014508714
17,161,2170.4543494537197,3275.4797601172995,2609.1029891217418,340.1226130832871
18,180,2170.4543494537197,3162.9841883319423,2569.275181188702,333.2130651721149
19,169,2170.4543494537197,3243.71204900315,2580.597221042182,331.86748651659343
20,171,2170.4543494537197,3243.71204900315,2580.4764641052457,346.79135822871285
21,174,2146.5587037068412,3203.7507654222377,2611.996940913144,338.0710602065879
22,172,2146.5587037068412,3141.330740437153,2601.0465860156296,338.3487567263673
23,161,2146.5587037068412,3291.837425197631,2588.293286918915,352.46718781317014
24,177,2146.5587037068412,3291.837425197631,2614.899354699594,364.495278593612
25,180,2140.5741221308813,3216.7023892934135,2598.747284287912,372.65539735755755
26,168,2140.5741221308813,3216.7023892934135,2581.1996812700418,356.77882160551917
